ISBN,Book_Title,Book_Author,Year_Of_Publication,Publisher
034066049X,Well Groomed,Fiona Walker,1997,Coronet Books
0425154092,From Potter's Field,Patricia Daniels Cornwell,1996,Berkley Publishing Group
0425179613,It's Not About the Bike: My Journey Back to Life,Lance Armstrong,2001,Berkley Publishing Group
0375724370,Anil's Ghost (Vintage International),Michael Ondaatje,2001,Vintage Books USA
0060969911,"Get Your Act Together!: A 7-Day Get-Organized Program for the Overworked, Overbooked, and Overwhelmed",Pam Young,1993,Perennial
342310516X,Wenn ein Reisender in einer Winternacht.,Italo Calvino,1999,Dtv
3453127013,Der Regenmacher.,John Grisham,1997,Heyne
0330262726,Smiley's People,John le Carre,1980,Pan Macmillan
0671014196,The Summerhouse,Jude Deveraux,2002,Pocket
0688171877,"Ahab's Wife: Or, The Star-Gazer: A Novel",Sena Jeter Naslund,1999,William Morrow
0871136791,Cold Mountain,Charles Frazier,1997,Atlantic Monthly Press
0684814773,The Quit,Evan Harris,1996,Simon &amp; Schuster
0517881004,The Vampire Encyclopedia,Matthew Bunson,1993,Crown Publishing Group (NY)
055321277X,Dr. Jekyll and Mr. Hyde (Bantam Classics),ROBERT LOUIS STEVENSON,1982,Bantam
0553380095,The Heart of a Woman,Maya Angelou,1997,Bantam
0060391502,The Zone: A Dietary Road Map to Lose Weight Permanently : Reset Your Generic Code : Prevent Disease : Achieve Maximum Physical Performance,Barry Sears,1995,ReganBooks
0679726225,"Wilderness : The Lost Writings of Jim Morrison (Morrison, Jim, Lost Writings of Jim Morrison (Vintage Books (Firm)), V. 1.)",JIM MORRISON,1989,Vintage
1555834310,Alec Baldwin Doesn't Love Me and Other Trials of My Queer Life,Michael Thomas Ford,1998,Alyson Publications
0440504708,"I'm Good Enough, I'm Smart Enough, and Doggone It, People Like Me! : Daily Affirmations By Stuart Smalley",AL FRANKEN,1992,Dell
0553284347,Toxic Parents: Overcoming Their Hurtful Legacy and Reclaiming Your Life,Susan Forward,1990,Bantam Books
0440473500,RAMONA QUIMBY AGE 8 (Ramona Quimby (Paperback)),BEVERLY CLEARY,1982,Yearling
0743423682,Hollywood Wives - The New Generation,Jackie Collins,2002,Pocket
0525945938,Scarlet Feather,Maeve Binchy,2001,Dutton Books
042516876X,Range of Motion,Elizabeth Berg,2000,Berkley Publishing Group
0385496095,Traveling Mercies: Some Thoughts on Faith,Anne Lamott,2000,Anchor Books/Doubleday
0385475721,The Blind Assassin,Margaret Atwood,2000,Nan A. Talese
0061096253,The Butter Did It : A Gastronomic Tale of Love and Murder (Chas Wheatley Mysteries),Phyllis Richman,1998,HarperTorch
1551667509,Haunted,Heather Graham,2003,Mira
0553277723,"NIGHT SHE DIED, THE",DOROTHY SIMPSON,1985,Crimeline
0425068099,The Witness for the Prosecution and Other Stories,Agatha Christie,1996,Berkley Publishing Group
0449146391,Murder at the PTA Luncheon,VALERIE WOLZIEN,1990,Fawcett
0312421117,Elegy for Iris,John Bayley,2001,Picador
0679405283,The Tale of the Body Thief (Vampire Chronicles),Anne Rice,1992,Alfred A. Knopf
0440508975,Bibliotherapy: The Girl's Guide to Books for Every Phase of Our Lives,Nancy K. Peske,2001,Dell Publishing Company
0515137111,Birthright,Nora Roberts,2004,Jove Books
0345456939,Gone Too Far,SUZANNE BROCKMANN,2004,Ballantine Books
0060504110,Die in Plain Sight,Elizabeth Lowell,2004,Avon Books
0060542799,An Hour to Kill : A Novel,Karin Yapalater,2004,HarperTorch
0743469844,Flirting with Pete : A Novel,Barbara Delinsky,2004,Pocket
0553583573,Dark Horse,TAMI HOAG,2004,Bantam
0446613886,Land of the Living,Nicci French,2004,Warner Vision
0449148238,Buried Lives,Nancy Star,1993,Fawcett Books
880781000X,La Casa Degli Spiriti,Isabel Allende,1995,Feltrinelli
0451205561,The Chocolate Cat Caper,Joanna Carl,2002,Signet Book
1551667371,Thicker Than Water,Maggie Shayne,2003,Mira Books
1551667398,The Bad Witness,Laura Van Wormer,2003,Mira Books
0553107380,Pawing Through the Past (Mrs. Murphy Mysteries (Hardcover)),Rita Mae Brown,2000,Bantam Books
0375406182,Plainsong,Kent Haruf,1999,Alfred A. Knopf
0553271636,D Is for Deadbeat (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1988,Bantam
1892145057,T. Bor: Tiborocity Exhibition,Maira Kalman,2002,Little Bookroom
0345389964,A Son of the Circus,John Irving,1995,Ballantine Books
0679751521,Midnight in the Garden of Good and Evil,John Berendt,1999,Vintage Books USA
1888054557,Postmarked Yesteryear: 30 Rare Holiday Postcards,Pamela E. Apkarian-Russell,2001,Collectors Press
0312099045,Route 66 Postcards: Greetings from the Mother Road,Michael Wallis,1993,St. Martin's Press
0312966091,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,1998,St. Martin's Paperbacks
0385265565,There Are No Children Here: The Story of Two Boys Growing Up in the Other America,Alex Kotlowitz,1992,Anchor
0670813648,Misery,Stephen King,1990,Viking Books
0399144315,The Cat Who Saw Stars,Lilian Jackson Braun,1999,Putnam Pub Group
0786883219,Brain Droppings,George Carlin,1998,Hyperion
0375504613,A Short Guide to a Happy Life,ANNA QUINDLEN,2000,Random House
0785263535,"The Savage Nation: Saving America from the Liberal Assault on Our Borders, Language and Culture",Michael Savage,2003,WND Books
0380896389,Until Proven Guilty,J.A. Jance,1985,Avon
0380896419,Injustice for All: A J.P. Beaumont Mystery,J.A. Jance,2004,Avon
0393046338,The Republic of Dreams: A Reverie,G. Garfield Crimmins,1998,W. W. Norton &amp; Company
0671001795,Two for the Dough,Janet Evanovich,1996,Pocket
0425161285,Turtle Moon,Alice Hoffman,1997,Berkley Publishing Group
0156904365,Till We Have Faces: A Myth Retold,C. S. Lewis,1980,Harvest Books
014034991X,Westing Game,Ellen Raskin,1992,Puffin Books
0440414539,Lily's Crossing (Yearling Newbery),Patricia Reilly Giff,1999,Yearling Books
0553274295,Where the Red Fern Grows,Wilson Rawls,1984,Random House Children's Books
0689800843,Running Out of Time,Margaret Peterson Haddix,1995,Simon &amp; Schuster Children's Publishing
0590926675,"So Far From Home : The Diary of Mary Driscoll, an Irish Mill Girl, Lowell, Massachusetts, 1847 (Dear America)",Barry Denenberg,1997,Scholastic
0689849176,Just Ella,Margaret Peterson Haddix,1999,Aladdin
0743490398,The Ultimate Weight Solution Food Guide,Phil McGraw,2003,Pocket
0451524667,Animal Farm,George Orwell,1990,New Amer Library Classics
0446600253,"Bless Me, Ultima",Rudolfo Anaya,1994,Warner Books
0345386744,The Talismans of Shannara (Heritage of Shannara (Paperback)),Terry Brooks,1994,Del Rey Books
0671039857,The End of the Rainbow (Hudson),V.C. Andrews,2001,Pocket
0671039830,"Eye Of The Storm (Hudson, Book 3)",V.C. Andrews,2000,Pocket
0671007696,Lightning Strikes (Hudson),V.C. Andrews,2000,Pocket
067100767X,Rain,V.C. Andrews,2000,Pocket Books
0140063838,Clinging to the Wreckage,John Mortimer,1983,Penguin Books Ltd
1558748040,"Chicken Soup for the Teenage Soul Letters - Letters of Life, Love and Learning (Chicken Soup for the Teenage Soul)",Jack Canfield,2001,Health Communications
0743403614,Orphans (Orphans Series),V.C. Andrews,2000,Pocket
8495501074,Ensayo sobre la ceguera,Jose Saramago,2001,Santillana USA Publishing Company
0886779960,"Sword and Sorceress 18 (Sword and Sorceress, 18)",Marion Zimmer Bradley,2001,Daw Books
0821767240,An Unwilling Bride,Jo Beverley,2000,Zebra Books
0515135356,Crime School,Carol O'Connell,2003,Jove Books
0316782262,All He Ever Wanted,Anita Shreve,2003,"Little, Brown"
0525945210,A Man Named Dave: A Story of Triumph and Forgiveness,David J. Pelzer,1999,Dutton Books
0786869054,The Sunday Wife: A Novel,Cassandra King,2002,Hyperion
0446530387,Stone Kiss (Peter Decker &amp; Rina Lazarus Novels (Hardcover)),Faye Kellerman,2002,Warner Books
0688177743,Keeping Faith : A Novel,Jodi Picoult,2000,Perennial
0375413634,The Emperor of Ocean Park (Today Show Book Club #1),Stephen L. Carter,2002,Alfred A. Knopf
0425147762,Red Azalea,Anchee Min,1995,Berkley Publishing Group
0399149295,Blood Orchid (Holly Barker Novels (Hardcover)),Stuart Woods,2002,Putnam Adult
0066212693,Good Girls Gone Bad,Jillian Medoff,2002,William Morrow
0670031062,Must Love Dogs: A Novel,Claire Cook,2002,Viking Books
0679439382,The Little Friend,Donna Tartt,2002,Alfred A. Knopf
1565123417,A Private Sorcery: A Novel,Lisa Gornick,2002,Algonquin Books of Chapel Hill
0451179188,Throat,Peter Straub,1999,Signet Book
0061098035,Burn Factor,Kyle Mills,2002,HarperTorch
0553572105,Fly Away Home,Judith Kelman,1997,Bantam Books
0312926456,"Unanswered Cries : A True Story Of Friends, Neighbors, And Murder In A Small Town",Thomas French,1992,St. Martin's Paperbacks
0786889837,Buried Evidence,Nancy Taylor Rosenberg,2002,Hyperion
0804108749,Saint Maybe,ANNE TYLER,1992,Ivy Books
0425121631,Rules of Prey,John Sandford,1992,Berkley Publishing Group
0804109052,Undue Influence,Shelby Yastrow,1992,Ivy Books
0345402308,Fourth Procedure,STANLEY POTTINGER,1995,Ballantine Books
0451168690,Mystery,Peter Straub,1997,Signet Book
067945960X,Monster: A Novel,Jonathan Kellerman,1999,Random House Inc
0316693235,Violets Are Blue,James Patterson,2001,"Little, Brown"
0451188616,The Heir,Catherine Coulter,1996,Signet Book
050552208X,A Darker Dream,Amanda Ashley,1997,Love Spell
0380820846,Romancing Mister Bridgerton,Julia Quinn,2002,Avon
0425153975,The Eyes of Darkness,Dean R. Koontz,1996,Berkley Publishing Group
0425119653,Mutation,Robin Cook,1991,Berkley Publishing Group
0553579983,And Then You Die,Iris Johansen,1998,Bantam
0399149325,Portrait of a Killer: Jack the Ripper -- Case Closed,Patricia Cornwell,2002,G. P. Putnam's Sons
0446610852,The Kissing Game,Kasey Michaels,2003,Warner Forever
0671744577,Eternity,Jude Deveraux,1992,Pocket
0373261047,Real Murders,Richard Harris,1992,Worldwide Library
0743233468,Bare Bones : A Novel,Kathy Reichs,2003,Scribner
0804114986,The Bonesetter's Daughter,Amy Tan,2002,Ballantine Books
0380808072,First Lady,Susan Elizabeth Phillips,2000,Avon
067179356X,In the Name of Love : Ann Rule's Crime Files Volume 4 (Ann Rule's Crime Files),Ann Rule,1998,Pocket
0380750848,A Heart So Wild,Johanna Lindsey,1986,Avon
0446611808,Envy,Sandra Brown,2002,Warner Books
0553583360,Slightly Shady,Amanda Quick,2002,Bantam Books
0446600709,Assumed Identity,David Morrell,1994,Warner Books
0671019929,ESAU,Philip Kerr,1998,Pocket
0425178579,Betrayal in Death,Nora Roberts,2001,Berkley Publishing Group
1551669498,Girls Night,Stef Ann Holm,2002,Mira
0345430786,Manifold: Space (Manifold (Paperback)),Stephen Baxter,2002,Del Rey Books
0316710571,Sam's Letters to Jennifer,James Patterson,2004,"Little, Brown"
0060555513,The Last Goodbye,Reed Arvin,2004,HarperCollins
0892967544,First Degree,David Rosenfelt,2003,Mysterious Press
0399148655,The Delicate Storm (Marian Wood Book),Giles Blunt,2003,Marian Wood Book
0312319142,Paranoia : A Novel,Joseph Finder,2004,St. Martin's Press
0345457587,"Shadow Account (Frey, Stephen)",STEPHEN FREY,2004,Ballantine Books
0345453417,"Cry No More (Howard, Linda)",LINDA HOWARD,2003,Ballantine Books
0316591122,Fear Itself: A Fearless Jones Novel,Walter Mosley,2003,"Little, Brown"
0312319517,"Avenger (Forsyth, Frederick)",Frederick Forsyth,2003,Thomas Dunne Books
0385336209,"Blinded (White, Stephen)",STEPHEN WHITE,2004,Delacorte Press
0553802526,The Killing Hour,LISA GARDNER,2003,Bantam
0446530689,The Protector,David Morrell,2003,Warner Books
0399150854,Blacklist: A V.I. Warshawski Novel,Sara Paretsky,2003,Putnam Publishing Group
0060083956,Mr. Paradise:  A Novel,Elmore Leonard,2004,William Morrow
0446531421,Still Life With Crows,Lincoln Child,2003,Warner Books
0312306814,A Grave Denied: A Kate Shugak Novel,Dana Stabenow,2003,St. Martin's Minotaur
0399150870,Stone Cold: A Jesse Stone Novel,Robert B. Parker,2003,Putnam Publishing Group
0399149821,Dirty Work,Stuart Woods,2003,Putnam Publishing Group
0553802496,Odd Thomas,Dean Koontz,2003,Bantam
0345452577,The Conspiracy Club,JONATHAN KELLERMAN,2003,Ballantine Books
1400041414,The Murder Room,P.D. JAMES,2003,Knopf
0060193883,A Bloodhound to Die For,Virginia Lanier,2003,HarperCollins
0525947655,A Perfect Day,Richard Paul Evans,2003,Dutton Books
0312316690,"The Tristan Betrayal (Ludlum, Robert)",Robert Ludlum,2003,St. Martin's Press
0060005556,"Last to Die (Grippando, James)",James Grippando,2003,HarperCollins
0399148760,Seizure,Robin Cook,2003,Putnam Publishing Group
0316603287,The Lake House,James Patterson,2003,"Little, Brown"
0399145664,Family Honor,Robert B. Parker,1999,Putnam Pub Group
0425178102,Big Trouble,Dave Barry,2001,Berkley Publishing Group
0553580515,Passage,Connie Willis,2002,Bantam Books
0515123293,The Last Heroes (Men at War (Paperback Jove)),W. E. B. Griffin,1998,Jove Books
0312985207,Stephen Coonts' Deep Black (Deep Black),Stephen Coonts,2003,St. Martin's Paperbacks
0312981260,Temple,Matthew Reilly,2002,St. Martin's Paperbacks
0609807420,The Business Plan for the Body,Jim Karas,2001,Three Rivers Press (CA)
0425122956,Majestic,Whitley Strieber,1990,Berkley Publishing Group
0451208765,Sleep No More,Greg Iles,2003,Signet Book
0618129022,The Lord of the Rings (Movie Art Cover),J.R.R. Tolkien,2001,Houghton Mifflin Company
0345423402,A Kiss of Shadows (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2002,Ballantine Books
0345423429,A Caress of Twilight (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2003,Fawcett
034544356X,"Seduced By Moonlight (Hamilton, Laurell K)",LAURELL K. HAMILTON,2004,Ballantine Books
0743454146,The Footprints of God : A Novel,Greg Iles,2004,Pocket Star
0451210840,"The Gunslinger (The Dark Tower, Book 1)",Stephen King,2003,New American Library
0425152367,Private Altars,Katherine Mosby,1996,Berkley Publishing Group
0553106643,Fear Nothing,DEAN KOONTZ,1998,Bantam
0449223795,The Homing,John Saul,1995,Fawcett Books
0312144075,The Samurai's Garden : A Novel,Gail Tsukiyama,1996,St. Martin's Griffin
0684869233,The Burning Times : A Novel of Medieval France,Jeanne Kalogridis,2001,Simon &amp; Schuster
0156007479,Slammerkin,Emma Donoghue,2002,Harvest Books
0061031844,The Book of Shadows,James Reese,2002,HarperTorch
0875421849,Living Wicca: A Further Guide for the Solitary Practitioner (Llewellyn's Practical Magick),Scott Cunningham,1993,Llewellyn Publications
0786868619,Stolen Lives: Twenty Years in a Desert Jail,Malika Oufkir,2001,Talk Miramax Books
0345442741,Welcome to the Great Mysterious (Ballantine Reader's Circle),LORNA LANDVIK,2002,Ballantine Books
0399138439,"Three Complete Novels: Lightning, the Face of Fear, the Vision",Dean R. Koontz,1993,Putnam Pub Group
0671723650,How To Win Friends And Influence People,Dale Carnegie,1990,Pocket
0671733354,How to Stop Worrying and Start Living,Dale Carnegie,1990,Pocket
0451206525,Dead Sleep,Greg Iles,2002,Signet Book
0451167317,The Dark Half,Stephen King,1994,Signet Book
0590444646,Caddie Woodlawn,Carol Brink,0,Scholastic Inc
039951743X,The Pocket Dictionary of Signing,Rod R. Butterworth,1992,Perigee Books
0671517643,LITTLE WOMEN,Louisa May Alcott,1994,Pocket
0345428455,"Vector Prime (Star Wars: The New Jedi Order, Book 1)",R. A. Salvatore,2000,Del Rey Books
0671541749,"Invasion: The Soldiers of Fear (Star Trek: The Next Generation, No. 41)",Dean Wesley Smith,1996,Star Trek
0786913886,"The Silent Blade (Forgotten Realms:  Paths of Darkness, Book 1)",R. A. Salvatore,1999,Wizards of the Coast
0766607208,Treasury of Illustrated Classics: Adventures of Huckleberry Finn,Mark Twain,2002,Modern Publishing
0399144706,River's End,Nora Roberts,1999,Putnam Publishing Group
0140444173,War and Peace (Penguin Classics),Leo Tolstoy,1982,Penguin Books
1560760478,Sojourn (Forgotten Realms Novel: Dark Elf Trilogy),R.A. Salvatore,1991,Wizards of the Coast
0880389052,"Homeland (Forgotten Realms: The Dark Elf Trilogy, Book 1)",R.A. Salvatore,1990,Wizards of the Coast
0880389206,Exile (Forgotten Realms: Dark Elf Trilogy),R. A. Salvatore,1996,Wizards of the Coast
0140255109,Novel Without a Name,Thu Hng Dng,1996,Penguin Books
0140445145,Twilight of the Idols and the Anti Christ (Penguin Classics),R.J. Hollingdale,1990,Penguin Books
0345396936,Cry to Heaven,Anne Rice,1995,Ballantine Books
014010870X,Life and Death in Shanghai,Nien Cheng,1988,Penguin Books
0671722840,RICHARD III,William Shakespeare,1996,Washington Square Press
0553233890,Pilgrim at Tinker Creek,Annie Dillard,1982,Bantam Books (Mm)
0553346083,Somewhere Off the Coast of Maine,Ann Hood,1988,Bantam Books
0330306839,Holidays In Hell,P J Orourke,0,Pan Books Ltd
0140181903,The Custom of the Country (Penguin Twentieth-Century Classics),Edith Wharton,1990,Penguin Books
0786881275,The Postman,Antonio Skarmeta,1995,Hyperion Books
0394587545,The Waterworks,E. L. Doctorow,1994,Random House Inc
0590466178,"Night of the Living Dummy (Goosebumps, No 7)",R. L. Stine,1995,Scholastic
0006514588,Three wise men,Martina Devlin,2000,HarperCollins
0380819600,"Take Me, I'm Yours (Avon Light Contemporary Romances)",Elizabeth Bevarly,2002,Avon
0312980159,Fast Women,Jennifer Crusie,2002,St. Martin's Press
0821771116,Falling for April (Zebra Historical Romance),Lisa Plumley,2002,Zebra Books
0451403967,Devoted,Alice Borchardt,1996,Signet Book
0140277749,The Bust Guide to the New Girl Order,Marcelle Karp,1999,Penguin Books
1580050158,Cunt: A Declaration of Independence (Live Girls),Inga Muscio,1998,Seal Press (WA)
0380818957,First Comes Love (Avon Light Contemporary Romances),Christie Ridgway,2002,Avon
0451191889,Beguiled,Alice Borchardt,1998,Signet Book
0345423658,The Wolf King,Alice Borchardt,2001,Del Rey Books
0743410262,Educating Caroline (Sonnet Books),Patricia Cabot,2001,Pocket
0312979851,True North,Beverly Brandt,2002,St. Martin's Paperbacks
0312979886,Female Intelligence,Jane Heller,2002,St. Martin's Paperbacks
0446671339,The Quiet Room : A Journey Out of the Torment of Madness,Lori Schiller,1996,Warner Books
0425173631,Witness in Death (Eve Dallas Mysteries (Paperback)),J. D. Robb,2004,Berkley Publishing Group
0451524748,Paradise Lost and Paradise Regained (Signet Classics (Paperback)),John Milton,1989,Signet Book
0553212451,The Jungle (Bantam Classics),Upton Sinclair,1981,Bantam
0451191137,Anthem,Ayn Rand,1996,Signet Book
0553299611,Lila: An Inquiry Into Morals,Robert M. Pirsig,1992,Bantam Books
0679454489,Merrick (Vampire Chronicles),Anne Rice,2000,Alfred A. Knopf
0679454470,"The Vampire Armand : The Vampire Chronicles (Rice, Anne, Vampire Chronicles)",Anne Rice,1998,Alfred A. Knopf
0425176304,Judgment in Death,J. D. Robb,2004,Berkley Publishing Group
087542791X,To Ride a Silver Broomstick: New Generation Witchcraft,Silver Ravenwolf,1993,Llewellyn Publications
015696158X,When God Was a Woman (Harvest/Hbj Book),Merlin Stone,1978,Harvest Books
0679720200,The Stranger,ALBERT CAMUS,1989,Vintage
0373250371,Losing It (Red Dress Ink),Lindsay Faith Rech,2003,Red Dress Ink
0312983271,Full House (Janet Evanovich's Full Series),Janet Evanovich,2002,St. Martin's Paperbacks
0060507845,"A Promising Man (and About Time, Too)",Elizabeth Young,2002,Avon Trade
0345295684,Dragonflight,Anne Mccaffrey,1980,Ballantine Books
8483101319,La ignorancia,Milan Kundera,2000,Tusquets Editores
1551669285,The Soul Catcher (Maggie O'Dell Novels (Hardcover)),Alex Kava,2002,Mira
0446670111,Einstein's Dreams,Alan Lightman,1994,Warner Books
0020545509,The Daughter of Time,Josephine Tey,1988,Simon &amp; Schuster
0312979096,Now You See Me,Tina Wainscott,2002,St. Martin's Paperbacks
0385313861,Going Native,STEPHEN WRIGHT,1995,Dell
3257232993,Liebesfluchten,Berhard Schlink,2002,Distribooks
0821221817,The National Parks : A Postcard Folio Book,Ansel Adams,1995,Bulfinch
0345391829,"Life, the Universe, and Everything (Hitchhiker's Trilogy (Paperback))",DOUGLAS ADAMS,1995,Ballantine Books
0609603086,The Hammer of Eden: A Novel,Ken Follett,1998,Random House Inc
0553282816,The Blooding,JOSEPH WAMBAUGH,1989,Bantam
0553284789,F Is for Fugitive (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1990,Bantam
0553279556,E Is for Evidence: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1989,Bantam
0374281947,Personal Injuries,Scott Turow,1999,Farrar Straus Giroux
0345420438,The Tailor of Panama,John Le Carre,1997,Ballantine Books
0345384911,Crystal Line,Anne McCaffrey,1993,Del Rey Books
0345332997,"A Man Rides Through (Mordant's Need, Vol 2)",Stephen R. Donaldson,1987,Ballantine Books
0451191013,The Regulators,Stephen King,2002,Signet Book
0553564943,Magician: Apprentice (Riftwar Saga),RAYMOND FEIST,1993,Bantam
0671637185,The RAGMAN'S SON,Kirk Douglas,1989,Pocket
2070381161,Cest Beau Une Ville La Nuit,Richard Bohringer,0,Folio
2070380599,Au bonheur des ogres (Collectiom Folio),Daniel Pennac,1993,Gallimard
0375725849,Perfume: The Story of a Murderer (Vintage International),Patrick Suskind,2001,Vintage Books USA
0345318587,The Hobbit,J R R Tolkien,1981,Ballantine Books
0515104531,Physical Evidence,Arthur Lyons,1990,Jove Books
0671701231,The Anastasia Syndrome,Mary Higgins Clark,1991,Pocket
0553290266,Golden Orange,Joseph Wambaugh,1991,Bantam Books
038072541X,Hit Man,Lawrence Block,1999,HarperTorch
0449204553,A Walk Across America,Peter Jenkins,1989,Fawcett Books
0446605409,Plum Island,Nelson DeMille,1998,Warner Books
0061009504,Shinju,Laura Joh Rowland,1996,HarperTorch
0142002399,The Shape of Water,Andrea Camilleri,2002,Penguin Books
0330328743,Butcher Boy,Patrick Mccabe,0,Pan Books Ltd
2264034882,La Conjuration des imbÃ?Â©ciles,John Kennedy Toole,2002,Editions 10/19
0446605956,The Spirit Caller (Molly Bearpaw Mysteries),Jean Hager,1998,Warner Books
0679776818,Birdsong: A Novel of Love and War,Sebastian Faulks,1997,Vintage Books USA
0812508424,Shadows Linger : A Novel of the Black Company (Chronicles of The Black Company),Glen Cook,1990,Tor Books
0812555333,She Is The Darkness : Book Two of Glittering Stone: A Novel of the Black Company (Chronicles of The Black Company),Glen Cook,1998,Tor Fantasy
0441007880,"Scion's Lady (Gil trilogy, Book 2)",Rebecca Bradley,2000,Ace Books
0441007090,"Lady in Gil (Gil trilogy, Book 1)",Rebecca Bradley,2000,Ace Books
0451458842,The Glasswrights' Journeyman,Mindy L. Klasky,2002,Roc
0446610771,Warchild,Karin Lowachee,2002,Aspect
0812555171,Expiration Date,Tim Powers,1996,Tor Books
0963784617,Quietus,Vivian Schilling,2002,Hannover House USA
0440224713,Total Recall: A V.I. Warshawski Novel,Sara Paretsky,2002,Dell Publishing Company
0553280414,A Separate Peace,John Knowles,1985,Bantam Books
0373484232,Stanislaski Sisters,Nora Roberts,2001,Silhouette
0064410137,"The Slippery Slope (A Series of Unfortunate Events, Book 10)",Lemony Snicket,2003,HarperCollins
0345440765,The World Below (Ballantine Reader's Circle),SUE MILLER,2002,Ballantine Books
0836251822,"I'M Not Anti-Business, I'M Anti-Idiot-Dilbert",Scott Adams,1998,Andrews McMeel Publishing
3453209613,Per Anhalter durch die Galaxis. Sammelband.,Douglas Adams,2001,Heyne
0517706814,The Law of Love,Laura Esquivel,1996,Random House Value Pub
0590630938,The Dragonslayers Apprentice (Point Fantasy),David Calder,1998,Scholastic
0440496039,Wolves of Willoughby Chase (Wolves Chronicles),Joan Aiken,1987,Yearling Books
0689710682,Mrs. Frisby and the Rats of Nimh,Robert C. O'Brien,1986,Aladdin
0152099905,The Borrowers,Mary Norton,1989,Odyssey Classics
0440472091,Ramona the Pest (Ramona Quimby (Paperback)),Beverly Cleary,1982,Yearling Books
0439136369,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,2001,Scholastic
0020418809,CADDIE WOODLAWN,Carol Ryrie Brink,1970,Simon Pulse
014034893X,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,1991,Puffin Books
0590483463,Revenge of the Lawn Gnomes (Goosebumps #34),R. L. Stine,1995,Scholastic
0385498799,Bee Season,Myla Goldberg,2000,Doubleday Books
0140366660,The Secret Garden (Puffin Classics),Frances Hodgson Burnett,1994,Puffin Books
0060278250,Abhorsen (The Abhorsen Trilogy),Garth Nix,2003,Eos
0060278234,Lirael: Daughter of the Clayr,Garth Nix,2001,HarperCollins
0064471837,Sabriel (The Abhorsen Trilogy),Garth Nix,1997,HarperTrophy
0345366239,The Eight,Katherine Neville,1995,Ballantine Books
0330262130,Restaurant At the End of the Universe,Douglas Adams,0,Pan Books Ltd
0684832178,CHOCOLATE FOR A WOMANS SOUL : 77 STORIES TO FEED YOUR SPIRIT AND WARM YOUR HEART (Chocolate),Kay Allenbaugh,1997,Fireside
0380807343,Coraline,Neil Gaiman,2003,HarperTrophy
0689859910,"Mates, Dates, and Sleepover Secrets (Mates, Dates)",Cathy Hopkins,2003,Simon Pulse
0553577123,The Diary of a Young Girl: The Definitive Edition,Anne Frank,1997,Bantam Books
0375727019,The Elementary Particles (Vintage International (Paperback)),Michel Houellebecq,2001,Vintage Books USA
0380752891,"Man from Mundania (Xanth Trilogy, No 12)",Piers Anthony,1990,Harper Mass Market Paperbacks
0394744543,Love Is Hell: Special New Mini-Jumbo Edition With Extra Bonus Cartoons,Matt Groening,1986,Random House Inc
0385333501,Welcome to the Monkey House,Kurt Vonnegut,1998,Delta
0425176053,Come Together,Josie Lloyd,2000,Berkeley Books
0330301497,Madwomans Underclothes Essays and Occasion,Germaine Greer,0,Pan Books Ltd
0812969812,Blessings : A Novel,ANNA QUINDLEN,2003,Random House Trade Paperbacks
0451163524,"The Drawing of the Three (The Dark Tower, Book 2)",Stephen King,1997,Signet Book
0451194861,"Wizard and Glass (The Dark Tower, Book 4)",Stephen King,1998,Signet Book
0452280621,Beloved,Toni Morrison,1998,Plume Books
0140187375,Cannery Row (Twentieth-Century Classics),John Steinbeck,1994,Penguin Books
0451166582,The Eyes of the Dragon,Stephen King,2001,Signet Book
0671026011,The Empty Chair,Jeffery Deaver,2001,Pocket
0330375253,Bridget Jones's Diary,Helen Fielding,2001,Picador
055337933X,Fierce Invalids Home from Hot Climates,TOM ROBBINS,2001,Bantam
0385503822,The Summons,John Grisham,2002,Doubleday Books
0609804138,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,1999,Three Rivers Press
0345439104,Drowning Ruth (Oprah's Book Club),CHRISTINA SCHWARZ,2001,Ballantine Books
0061031410,Courting Trouble,Lisa Scottoline,2003,HarperTorch
0375757597,Normal Girl : A Novel,MOLLY JONG-FAST,2001,Villard
0140071083,The Haunting of Hill House,Shirley Jackson,1984,Penguin Books
0743439791,The Night I Disappeared,Julie Reece Deaver,2002,Simon Pulse
0192833669,"Frankenstein, Or, the Modern Prometheus: The 1818 Text (Oxford World's Classics)",Mary Wollstonecraft Shelley,1998,Oxford University Press
0380784165,Scent of Magic,Andre Norton,1999,Eos
0684848406,The SECRET BOOK OF GRAZIA DEI ROSSI,Jacqueline Park,1998,Simon &amp; Schuster
0446677698,One Virgin Too Many,Lindsey Davis,2001,Mysterious Press
0425105695,The Moving Finger (Miss Marple Mysteries (Paperback)),Agatha Christie,1994,Berkley Publishing Group
0679742565,The Game,A. S. Byatt,1992,Vintage Books USA
0553575384,To Say Nothing of the Dog,Connie Willis,1998,Bantam
