User_ID,Location,Age
1530,"hartsdale, new york, usa",26.0
1535,"virginia beach, virginia, usa",69.0
1548,"brooklyn, new york, usa",28.0
1558,"normal, illinois, usa",61.0
1585,"albuquerque, new mexico, usa",29.0
1597,"west columbia, texas, usa",23.0
1608,"collingswood, new jersey, usa",27.0
1619,"visalia, california, usa",NULL
1641,"winston salem, north carolina, usa",22.0
1650,"victoria, british columbia, canada",NULL
1652,"new york, new york, usa",NULL
1660,"fort worth, texas, usa",NULL
1674,"minneapolis, minnesota, usa",26.0
1706,"olympia, washington, usa",26.0
1718,"framingham, massachusetts, usa",28.0
1730,"el paso, texas, usa",33.0
1733,"independence, west virginia, usa",30.0
1768,"newington, connecticut, usa",25.0
1790,"chicago, illinois, usa",25.0
1792,"hutchinson, kansas, usa",NULL
1803,"northville, new york, usa",48.0
1805,"euless, texas, usa",NULL
1830,"kidderminster, worcestershire, england, united kingdom",54.0
1848,"bellingham, washington, usa",22.0
1892,"fort wayne, indiana, usa",47.0
1898,"waukegan, illinois, usa",47.0
1903,"hualien, taiwan, taiwan",36.0
1933,"honolulu, hawaii, usa",NULL
1949,"wilmington, north carolina, usa",NULL
2010,"colfax, illinois, usa",NULL
2012,"bray, wicklow,",34.0
2019,"carcavelos, n/a, portugal",29.0
2030,"seabeck, washington, usa",31.0
2033,"omaha, nebraska, usa",27.0
2036,"frenchtown, new jersey, usa",49.0
2041,"playa del rey, california, usa",NULL
2089,"lynchburg, virginia, usa",NULL
2099,"tucson, arizona, usa",NULL
2103,"minneapolis, minnesota, usa",43.0
2108,"houston, texas, usa",NULL
2110,"charlotte, north carolina, usa",NULL
2127,"high point, north carolina, usa",NULL
2132,"hammond, indiana, usa",NULL
2139,"chesapeake, virginia, usa",33.0
2179,"sunderland, massachusetts, usa",30.0
2183,"burnaby, british columbia, canada",NULL
2197,"n/a, travelling, canada",26.0
2198,"philadelphia, pennsylvania, usa",NULL
2204,"el cajon, california, usa",NULL
2250,"charlotte, north carolina, usa",NULL
2253,"saskatoon, saskatchewan, canada",NULL
2255,"charlottesville, virginia, usa",35.0
2271,"mooresville, north carolina, usa",NULL
2276,"niskayuna, new york, usa",46.0
2287,"north chili, new york, usa",35.0
2288,"spring hill, tennessee, usa",30.0
2295,"el sobrante, california, usa",21.0
2313,"cincinnati, ohio, usa",23.0
2333,"ocean city, maryland, usa",NULL
2337,"grove city, ohio, usa",34.0
2357,"philadelphia, pennsylvania, usa",35.0
2358,"bryan, texas, usa",23.0
2375,"norfolk, virginia, usa",20.0
2388,"hawley, pennsylvania, usa",64.0
2399,"kent, ohio, usa",32.0
2411,"lake city, florida, usa",37.0
2414,"edenhope, victoria, australia",NULL
2437,"san antonio, texas, usa",45.0
2439,"atlanta, georgia, usa",26.0
2442,"torino, ,",25.0
2466,"olathe, kansas, usa",NULL
2503,"london, england, united kingdom",36.0
2559,"santa rosa, california, usa",NULL
2565,"pensacola, friuli venezia giulia, usa",NULL
2569,"santa rosa, california, usa",NULL
2589,"shrewsbury, massachusetts, usa",NULL
2591,"bloomington, illinois, usa",NULL
2638,"burnaby, british columbia, canada",NULL
2719,"staten island, new york, usa",37.0
2766,"frisco, texas, usa",42.0
2770,"champaign, illinois, usa",NULL
2793,"jefferson, georgia, usa",34.0
2799,"eugene, oregon, usa",NULL
2854,"deptford, new jersey, usa",36.0
2855,"dallas, texas, usa",35.0
2891,"beaverton, oregon, usa",NULL
2907,"new york, new york, usa",NULL
2977,"richland, washington, usa",25.0
2995,"belleville, illinois, usa",61.0
2996,"milan, lombardia, italy",21.0
3005,"mountain view, california, usa",NULL
3026,"kuala lumpur, kuala lumpur, malaysia",NULL
3032,"sydney, new south wales, australia",40.0
3079,"asheville, north carolina, usa",NULL
3099,"umeå, västerbotten, sweden",NULL
3100,"oakland, california, usa",42.0
3104,"watertown, massachusetts, usa",27.0
3106,"memphis, tennessee, usa",NULL
3113,"vernon, british columbia, canada",NULL
3145,"austin, texas, usa",34.0
3167,"milwaukee, wisconsin, usa",42.0
3192,"milwaukee, wisconsin, usa",NULL
3206,"bilbao, vizcaya, spain",23.0
3261,"lenexa, ,",42.0
3282,"didsbury, alberta, canada",52.0
3300,"cabot, arkansas, usa",49.0
3310,"tucson, arizona, usa",NULL
3329,"grantsville, utah, usa",NULL
3331,"mckeesport, pennsylvania, usa",60.0
3344,"tucson, arizona, usa",61.0
3346,"tehran, tehran, iran",20.0
3350,"colorado springs, colorado, usa",23.0
3362,"new york, new york, usa",NULL
3363,"knoxville, tennessee, usa",29.0
3371,"groveland, massachusetts, usa",25.0
3373,"elk grove, california, usa",30.0
3374,"ajax, ontario, canada",47.0
3416,"aachen, nordrhein-westfalen, germany",34.0
3427,"eldorado, illinois, usa",50.0
3460,"edmonton, alberta, canada",32.0
3467,"fort wayne, indiana, usa",36.0
3507,"chicago, illinois, usa",NULL
3512,"portales, new mexico, usa",NULL
3541,"nanaimo, ,",NULL
3542,"jersey city, new jersey, usa",NULL
3543,"elgin, texas, usa",37.0
3556,"bismarck, north dakota, usa",68.0
3569,"n/a, n/a, usa",NULL
3578,"halifax, nova scotia, canada",25.0
3580,"essington, pennsylvania, usa",44.0
3593,"lahaina, hawaii, usa",NULL
3594,"auckland, n/a, new zealand",48.0
3601,"tallahassee, florida, usa",33.0
3640,"sacramento, california, usa",NULL
3669,"williamsburg, massachusetts, usa",34.0
3675,"barcelona, catalunya, spain",24.0
3693,"hampton, virginia, usa",23.0
3709,"lucama, north carolina, usa",30.0
3719,"eielson afb, alaska, usa",18.0
3739,"hamilton, ,",NULL
3756,"round rock, texas, usa",44.0
3757,"madrid, madrid, spain",NULL
3814,"langhorne, pennsylvania, usa",NULL
3817,"columbia, south carolina, usa",29.0
3821,"scottdale, pennsylvania, usa",36.0
3827,"orlando, florida, usa",23.0
3840,"meriden, connecticut, usa",46.0
3865,"chandler, arizona, usa",25.0
3869,"chapel hill, north carolina, usa",38.0
3894,"grand canyon, arizona, usa",NULL
3917,"toronto, ontario, canada",25.0
3923,"vienna, ,",NULL
3977,"columbiana, alabama, usa",63.0
3999,"new braunfels, texas, usa",71.0
4017,"new orleans, louisiana, usa",48.0
4059,"portland, ,",NULL
4066,"birmingham, alabama, usa",31.0
4077,"austin, texas, usa",NULL
4090,"haskell, new jersey, usa",NULL
4091,"estill springs, tennessee, usa",77.0
4092,"hixson, tennessee, usa",27.0
4098,"mei foo, kowloon, hong kong",30.0
4107,"kelowna, british columbia, canada",19.0
4131,"hemel hempstead, england, united kingdom",51.0
4144,"winnipeg, manitoba, canada",31.0
4149,"highland, utah, usa",NULL
4157,"birmingham, alabama, usa",39.0
4169,"fairbanks, alaska, usa",57.0
4179,"fairbanks, alaska, usa",18.0
4183,"anchorage, alaska, usa",57.0
4193,"douglas, alaska,",NULL
4196,"kasilof, alaska, usa",NULL
4197,"anchorage, alaska, usa",61.0
4221,"n/a, connecticut, usa",NULL
4223,"oldenburg, niedersachsen, germany",28.0
4225,"ottawa, ontario, canada",33.0
4228,"austin, texas, usa",41.0
4303,"calgary, alberta, canada",NULL
4334,"rome, lazio, italy",38.0
4365,"victoria, british columbia, canada",19.0
4385,"albq, new mexico, usa",33.0
4386,"rio rancho, new mexico, usa",NULL
4483,"aldergrove, british columbia, canada",NULL
4516,"greenville, south carolina, usa",66.0
4570,"santa monica, california, usa",40.0
4571,"melbourne, victoria, australia",23.0
4579,"victoria, british columbia, canada",NULL
4600,"little rock, arkansas, usa",32.0
4622,"norfolk, virginia, usa",18.0
4669,"victoria, british columbia,",NULL
4732,"portland, oregon, usa",NULL
4784,"arvada, colorado, usa",21.0
4785,"litchfield, connecticut, usa",30.0
4795,"rochester, new york, usa",18.0
4802,"london, england, united kingdom",28.0
4809,"grosse pointe, michigan, usa",NULL
4821,"lagrangeville, new york, usa",44.0
4896,"ploiesti, prahova, romania",18.0
4900,"washington, dc,",26.0
4938,"charleston, south carolina, usa",30.0
4973,"toronto, ontario, canada",29.0
4999,"aurora, colorado, usa",54.0
5003,"snohomish, washington, usa",NULL
5037,"dodge center, minnesota, usa",26.0
5048,"montreal, quebec, canada",NULL
5049,"inver grove heights, minnesota, usa",32.0
5091,"swieqi, n/a, malta",NULL
5101,"montreal, quebec, canada",NULL
5126,"chula vista, california, usa",53.0
5151,"madrid, madrid, spain",24.0
5163,"pacific grove, california, usa",NULL
5207,"indianapolis, indiana, usa",34.0
5209,"medford, new jersey, usa",48.0
5268,"chandler, arizona, usa",NULL
5286,"dallas, texas, usa",18.0
5296,"brooklyn, new york, usa",34.0
5333,"rotterdam, rotterdam, netherlands",49.0
5350,"köln, nordrhein-westfalen, germany",20.0
5375,"placerville, california, usa",47.0
5385,"loomis, california, usa",30.0
5416,"albany, oregon, usa",NULL
5439,"houston, texas, usa",66.0
5476,"chester, ,",NULL
5483,"bayan lepas, penang, malaysia",20.0
5490,"lake charles, louisiana, usa",33.0
5499,"lakeland, tennessee,",60.0
5539,"austin, texas, usa",32.0
5543,"cumberland, maryland, usa",29.0
5555,"perigny, poitou-charentes, france",NULL
5559,"lakeland, florida, usa",37.0
5582,"seattle, washington, usa",26.0
5585,"arlington, virginia, usa",39.0
5604,"hattenhofen, bayern, germany",48.0
5609,"oradea, bihor, romania",25.0
5638,"binghamton, new york, usa",NULL
5665,"orlando, florida, usa",40.0
5669,"chicago, illinois, usa",NULL
5722,"providence, rhode island, usa",23.0
5728,"cullowhee, north carolina, usa",22.0
5737,"newcastle, washington, usa",44.0
5741,"redlands, california, usa",20.0
5746,"los angeles, california, usa",NULL
5768,"boise, idaho, usa",NULL
5782,"stillwater, minnesota, usa",62.0
5783,"fullerton, california, usa",32.0
5784,"halifax, nova scotia, canada",60.0
5815,"rockville, maryland, usa",NULL
5834,"aachen, nordrhein-westfalen, germany",26.0
5850,"seattle, ,",NULL
5866,"rimersburg, pennsylvania, usa",NULL
5899,"ulm, baden-wuerttemberg, germany",25.0
5903,"vienna, vienna, austria",25.0
5920,"albany, oregon, usa",35.0
5932,"honolulu, hawaii, usa",NULL
5942,"harrisburg, missouri, usa",NULL
5956,"indianapolis, indiana, usa",27.0
5963,"san diego, california, usa",38.0
6015,"lacey, washington, usa",NULL
6018,"chapel hill, north carolina, usa",38.0
6022,"baton rouge, louisiana, usa",18.0
6073,"houston, texas, usa",28.0
6074,"mt. juliet, tennessee, usa",30.0
6102,"jamaica, , usa",28.0
6115,"kerrville, texas, usa",NULL
6125,"boca raton, florida, usa",NULL
6135,"littleton, colorado, usa",NULL
6153,"bronx, new york, usa",NULL
6169,"spring lake park, minnesota, usa",NULL
6178,"topeka, ,",NULL
6217,"eugene, oregon, usa",NULL
6238,"silsden, keighley, west yorkshire, united kingdom",38.0
6242,"calgary, alberta, canada",NULL
6251,"wahiawa, hawaii, usa",32.0
6280,"a coruña, , spain",46.0
6308,"wisconsin rapids, wisconsin, usa",NULL
6318,"ann arbor, michigan, usa",24.0
6323,"wilmington, north carolina, usa",35.0
6333,"san jose, california, usa",45.0
6345,"lake geneva, wisconsin, usa",29.0
6347,"quispamsis, new brunswick, canada",19.0
6348,"lexington, south carolina, usa",NULL
6349,"pinson, alabama, usa",66.0
6366,"madrid, madrid, spain",20.0
6392,"gardena, california,",NULL
6398,"dallas, texas, usa",20.0
6431,"wylie, texas, usa",30.0
6452,"santa rosa, california, usa",NULL
6497,"plant city, florida, usa",NULL
6501,"monterey, california, usa",25.0
6532,"new westminster, british columbia, canada",NULL
6535,"lisbon, lisbon, portugal",26.0
6537,"norfolk, ,",28.0
6543,"strafford, missouri, usa",34.0
6563,"burien, washington, usa",31.0
6564,"lisboa, estremadura, portugal",37.0
6566,"port angeles, washington, usa",NULL
6568,"ojai, california, usa",NULL
6575,"seattle, washington, usa",NULL
6577,"coral springs, florida, usa",62.0
6592,"brooks, alberta, canada",37.0
6604,"vallejo, california, usa",48.0
6611,"oradea, n/a, romania",22.0
6637,"las vegas, nevada, usa",30.0
6652,"frankfort, kentucky, usa",41.0
6662,"toronto, ontario, canada",31.0
6670,"union, new jersey, usa",54.0
6671,"altoona, wisconsin, usa",54.0
6679,"myrtle beach, south carolina, usa",NULL
6689,"east lansing, michigan, usa",NULL
6704,"san francisco, california, usa",32.0
6764,"skippack, pennsylvania, usa",NULL
6768,"cahokia, illinois, usa",35.0
6769,"olympia, washington, usa",56.0
6772,"calgary, ,",NULL
6778,"addison, texas, usa",NULL
6781,"hopewell, virginia, usa",22.0
6789,"boise, idaho, usa",NULL
6815,"indianapolis, indiana, usa",24.0
6865,"north richland hills, texas, usa",40.0
6866,"paris, ile de france, france",51.0
6871,"raleigh, north carolina, usa",28.0
6884,"north liberty, indiana, usa",25.0
6894,"colorado springs, colorado, usa",20.0
6900,"sunnyvale, california, usa",25.0
6906,"cedar rapids, iowa, usa",63.0
6924,"bonne terre, missouri, usa",42.0
6975,"victoria, british columbia, canada",NULL
6991,"jackson, michigan, usa",NULL
7033,"toronto, ontario, canada",29.0
7037,"san antonio, texas, usa",NULL
7056,"pickering, ontario, canada",31.0
7078,"brookline, new hampshire, usa",NULL
7079,"aurora, ontario, canada",NULL
7082,"carlisle, pennsylvania, usa",NULL
7105,"chertsey, england, united kingdom",NULL
7107,"chester, pennsylvania, usa",NULL
7119,"rock hill, missouri, usa",66.0
7125,"apo, ae, usa",28.0
7134,"bothell, washington, usa",23.0
7158,"omaha, nebraska, usa",30.0
7160,"fort atkinson, wisconsin, usa",24.0
7194,"richmond, virginia, usa",25.0
7210,"rothesay, new brunswick, canada",NULL
7218,"la crescenta, california, usa",31.0
7228,"redondo beach, california, usa",NULL
7248,"virginia beach, virginia, usa",22.0
7283,"saint marys, georgia, usa",30.0
7286,"pasco, washington, usa",28.0
7301,"worcester, massachusetts, usa",25.0
7306,"carpinteria, california, usa",29.0
7312,"walnut ridge, arkansas, usa",23.0
7316,"coralville, iowa, usa",NULL
7338,"roswell, georgia, usa",33.0
7341,"half moon bay, california, usa",NULL
7346,"sunnyvale, california, usa",49.0
7352,"houston, texas, usa",53.0
7371,"winnipeg, manitoba, canada",26.0
7409,"west vancouver, british columbia, canada",NULL
7424,"brooklyn, new york, usa",32.0
7426,"la, california, usa",NULL
7482,"macarthur, west virginia, usa",49.0
7500,"bangkok, bangkok, thailand",20.0
7507,"montreal, quebec, canada",24.0
7509,"manhattan beach, california, usa",NULL
7524,"gloucester, massachusetts, usa",27.0
7538,"st. mary`s city, maryland, usa",NULL
7557,"graham, washington, usa",23.0
7569,"tulsa, , usa",22.0
7620,"knoxville, tennessee, usa",21.0
7621,"victoria, british columbia, canada",NULL
7634,"barrie, ontario, canada",NULL
7651,"olive branch, mississippi, usa",21.0
7809,"seattle, washington, usa",NULL
7820,"saratoga, california, usa",20.0
7841,"salt lake city, utah, usa",NULL
7856,"drachten, friesland, netherlands",NULL
7860,"northfield, massachusetts, usa",NULL
7874,"damascus, maryland, usa",25.0
7887,"altoona, pennsylvania, usa",23.0
7890,"newport coast, california, usa",NULL
7893,"sault ste. marie, ontario, canada",44.0
7909,"hopewell junction, new york, usa",56.0
7913,"mission hills, california, usa",43.0
7915,"st. paul, minnesota, usa",NULL
7958,"oeiras, lisbon, portugal",27.0
7962,"albuquerque, new mexico, usa",54.0
7980,"cambridge, massachusetts, usa",34.0
7982,"saugatuck, michigan, usa",NULL
7994,"newport, rhode island, usa",NULL
8006,"milton, massachusetts, usa",34.0
8018,"kirkwood, ,",NULL
8019,"toronto, ontario, canada",NULL
8040,"raleigh, north carolina, usa",NULL
8047,"north canton, ohio, usa",NULL
8066,"chicago, illinois, usa",NULL
8067,"owings mills, maryland, usa",26.0
8086,"dallas, texas, usa",NULL
8089,"durham, new hampshire, usa",NULL
8095,"peterborough, ontario, canada",22.0
8115,"santa rosa, california, usa",NULL
8141,"claremont, california, usa",NULL
8154,"toledo, ohio, usa",36.0
8167,"cambridge, ,",39.0
8187,"bend, oregon, usa",NULL
8188,"san francisco, california, usa",NULL
8201,"clawson, michigan, usa",37.0
8219,"san francisco, california, usa",25.0
8220,"cleveland, tennessee, usa",34.0
8234,"colorado springs, colorado, usa",44.0
8240,"lawrenceburg, indiana, usa",50.0
8245,"torrance, california, usa",31.0
8250,"carrollton, texas, usa",34.0
8253,"tulsa, oklahoma, usa",26.0
8255,"savage, minnesota, usa",47.0
8268,"dallas, texas, usa",35.0
8284,"manchester, kentucky, usa",28.0
8290,"shrewsbury, massachusetts, usa",NULL
8296,"livermore falls, maine, usa",28.0
8309,"mount holly, new jersey, usa",44.0
8314,"newark, california, usa",36.0
8323,"roy, utah, usa",48.0
8361,"melbourne, victoria, australia",23.0
8362,"los angeles, california, usa",28.0
8370,"phoenix, arizona, usa",33.0
8453,"berkeley, california, usa",47.0
8454,"auburndale, massachusetts, usa",NULL
8487,"carrollton, texas, usa",30.0
8529,"logroño, la rioja, spain",NULL
8541,"westcliffe, colorado, usa",68.0
8570,"rochester, new york, usa",23.0
8580,"bath, england, united kingdom",19.0
8613,"cincinnati, ohio, usa",69.0
8630,"hurst, texas, usa",45.0
8633,"waltham, massachusetts, usa",NULL
8660,"innsbruck, tirol, austria",25.0
8674,"singapore, n/a, singapore",29.0
8681,"orlando, florida, usa",34.0
8682,"quetzaltenango, western highlands, guatemala",NULL
8687,"bucharest, n/a, romania",28.0
8695,"redding, california, usa",NULL
8712,"statesboro, georgia, usa",NULL
8734,"chula vista, california, usa",NULL
8737,"derby, kansas, usa",NULL
8772,"halifax, nova scotia, canada",26.0
8780,"santa cruz, california, usa",NULL
8801,"san francisco, california, usa",24.0
8840,"sidney, british columbia, canada",NULL
8853,"los angeles, california, usa",22.0
8856,"forestville, california, usa",31.0
8864,"st petersburg, florida, usa",26.0
8870,"austin, texas, usa",45.0
8872,"athens, georgia, usa",65.0
8874,"oakville, ontario, canada",23.0
8890,"paris, ile-de-france, france",47.0
8930,"st. louis, missouri, usa",78.0
8935,"little elm, texas, usa",35.0
8936,"elizabeth city, north carolina, usa",18.0
8937,"murphysboro, ,",37.0
8952,"la cruz de huanacaxtle, nayarit, mexico",39.0
8955,"bayside, new york, usa",42.0
8961,"dekalb, illinois, usa",28.0
8971,"berlin, berlin, germany",27.0
9034,"santiago, region metropolitana, chile",NULL
9083,"mercer island, washington, usa",NULL
9105,"iowa city, iowa, usa",39.0
9138,"darien, connecticut, usa",NULL
9154,"san francisco, california, usa",29.0
9174,"denver, colorado, usa",37.0
9177,"leicester, leicestershire, united kingdom",26.0
9178,"fremont, california, usa",NULL
9183,"waterloo, ontario, canada",31.0
9203,"great bend, kansas, usa",69.0
9219,"royal oak, michigan, usa",NULL
9226,"kapolei, hawaii, usa",27.0
9227,"glendora, california, usa",24.0
9313,"lisboa, n/a, portugal",NULL
9340,"oak park, illinois, usa",35.0
9343,"fredericton, new brunswick, canada",NULL
9354,"albuquerque, new mexico, usa",30.0
9357,"quechee, vermont, usa",NULL
9381,"bagshot, surrey, united kingdom",NULL
9389,"west monroe, new york, usa",25.0
9394,"alameda, california, usa",36.0
9414,"ipswich, suffolk, united kingdom",37.0
9417,"whitby, ontario, canada",26.0
9419,"somewhere, texas, usa",NULL
9440,"indianapolis, indiana, usa",21.0
9454,"reno, nevada, usa",NULL
9484,"st. catharines, ontario, canada",NULL
9486,"east windsor, new jersey, usa",46.0
9492,"gainesville, florida, usa",19.0
9568,"wichita, kansas, usa",44.0
9571,"reinbek, schleswig-holstein, germany",27.0
9574,"lansing, michigan, usa",33.0
9579,"macomb, illinois, usa",23.0
9613,"collings lakes, new jersey, usa",34.0
9637,"bronxville, new york, usa",NULL
9652,"saint petersburg, florida, usa",34.0
9660,"albuquerque, new mexico, usa",35.0
9714,"cincinnati, ohio, usa",40.0
9718,"brooklyn, new york, usa",35.0
9728,"oak cliff, ,",NULL
9747,"o`fallon, missouri, usa",NULL
9856,"glendale, colorado, usa",22.0
9902,"cincinnati, ohio, usa",NULL
9908,"woodstock, georgia, usa",36.0
10030,"pittsburgh, pennsylvania, usa",66.0
10063,"erie, colorado, usa",35.0
10085,"huntsville, ,",NULL
10090,"los angeles, california, usa",26.0
10112,"spokane, washington, usa",26.0
10118,"minneapolis, minnesota, usa",44.0
10124,"menlo park, california, usa",50.0
10134,"herkimer, new york, usa",19.0
10162,"calgary, alberta, canada",NULL
10215,"edinburgh, scotland, united kingdom",34.0
10241,"avon, massachusetts, usa",27.0
10313,"bynum, north carolina, usa",37.0
10314,"beaverton, oregon, usa",NULL
10315,"calgary, alberta, canada",18.0
10372,"shoreline, washington, usa",20.0
10441,"springfield, ,",NULL
10447,"chicago, illinois, usa",NULL
10470,"salem, virginia, usa",NULL
10494,"phoenix, arizona, usa",25.0
10532,"shipley, west yorkshire, united kingdom",29.0
10560,"chicago, illinois, usa",27.0
10570,"singapore, n/a, singapore",NULL
10607,"plattsburgh, new york, usa",60.0
10619,"douglas, alaska, usa",33.0
10630,"ancaster, ontario, canada",23.0
10660,"luzern, luzern, switzerland",37.0
10668,"boise, idaho, usa",NULL
10681,"xxxxxx, xxxxxx, netherlands",NULL
10697,"lexington, kentucky, usa",20.0
10699,"victoria, british columbia, canada",NULL
10807,"gothenburg, n/a, sweden",NULL
10819,"richmond, kentucky, usa",27.0
10836,"brooklyn, new york, usa",NULL
10921,"middleburg, florida, usa",65.0
10946,"ajax, ontario, canada",NULL
10949,"columbia, tennessee, usa",NULL
10951,"cape canaveral, florida, usa",62.0
10959,"romulus, mi, michigan, usa",57.0
10965,"uppsala, uppland, sweden",22.0
10985,"southampton, england, united kingdom",38.0
11070,"mississauga, ontario, canada",NULL
11120,"kerava, uusimaa, finland",58.0
11155,"richardson, texas, usa",27.0
11169,"winnipeg, manitoba, canada",27.0
11179,"davidson, north carolina, usa",NULL
11181,"reno, nevada, usa",NULL
11187,"clearwater, florida, usa",60.0
11198,"stuttgart, baden-wuerttemberg, germany",45.0
11224,"tumwater, washington, usa",51.0
11231,"hinesville, georgia, usa",37.0
11245,"scarborough, ontario, canada",NULL
11266,"tujunga, california, usa",NULL
11283,"naples, maine, usa",NULL
11285,"kamloops, british columbia, canada",32.0
11325,"seattle, washington, usa",23.0
11362,"brighton, ontario, canada",NULL
11400,"ottawa, ontario, canada",49.0
11451,"millersville, maryland, usa",NULL
11456,"fort thomas, kentucky, usa",NULL
11474,"bloomington, minnesota, usa",NULL
11489,"mesa, arizona, usa",28.0
11507,"calgary, alberta, canada",NULL
11517,"onley, virginia, usa",57.0
11521,"st. louis, missouri, usa",24.0
11529,"richmond, california, usa",NULL
11532,"taneytown, maryland, usa",NULL
11554,"houston, texas, usa",35.0
11567,"boulder, colorado, usa",NULL
11591,"blue river, oregon, usa",NULL
11594,"san ramon, california, usa",63.0
11601,"brooklyn, new york, usa",NULL
11609,"london, england, united kingdom",NULL
11621,"gatineau, quebec, canada",40.0
11629,"houston, texas, usa",21.0
11638,"seattle, washington, usa",NULL
11654,"central city, alabama, usa",NULL
11657,"cincinnati, ohio, usa",25.0
11668,"west lafayette, indiana, usa",35.0
11687,"orillia, ontario, canada",47.0
11708,"auburn, ,",NULL
11718,"reno, nevada, usa",NULL
11724,"west lawn, pennsylvania, usa",42.0
11788,"jenks, oklahoma, usa",30.0
11817,"jacksonville, florida, usa",NULL
11832,"juneau, alaska, usa",NULL
11844,"rozelle, new south wales, australia",NULL
11908,"prince george, british columbia, canada",20.0
11916,"brooklyn, new york, usa",NULL
11924,"amherst, massachusetts, usa",19.0
11933,"san antonio, texas, usa",NULL
11944,"santo tirso, porto, portugal",21.0
11993,"lakewood, colorado, usa",37.0
12080,"etobicoke, ontario, canada",50.0
12100,"quezon city, national capital region, philippines",26.0
12112,"austin, texas, usa",40.0
12123,"portage, michigan, usa",NULL
12137,"north vancouver, british columbia, canada",NULL
12143,"pleasant hill, california, usa",51.0
12154,"pittsburgh, pennsylvania, usa",41.0
12194,"redford, michigan, usa",NULL
12202,"legazpi city, albay, philippines",19.0
12209,"poughkeepsie, new york, usa",18.0
12220,"methuen, massachusetts, usa",46.0
12264,"kuna, idaho, usa",39.0
12272,"ploiesti, prahova, romania",18.0
12285,"livermore, california, usa",38.0
12289,"chicago, illinois, usa",NULL
12293,"denver, colorado, usa",42.0
12307,"gold bar, washington, usa",19.0
12316,"viewtown, virginia, usa",NULL
12319,"wolfeboro, new hampshire, usa",NULL
12331,"athens, n/a, greece",31.0
12333,"epsom, england, united kingdom",18.0
12348,"brighton, massachusetts, usa",23.0
12362,"dallas, texas, usa",54.0
12384,"pittsburgh, pennsylvania, usa",NULL
12388,"ann arbor, michigan, usa",28.0
12457,"bridgeport, west virginia, usa",36.0
12489,"houston, texas, usa",26.0
12515,"redwood city, california, usa",NULL
12537,"byron, minnesota,",NULL
12538,"byron, minnesota, usa",18.0
